seed,algorithm,success,rmse,trajectoryCost,meanSolveTime,maxSolveTime,totalSolveTime,wheelSpeedViolationRatio,maxWheelSpeedViolation,steeringRateViolationRatio,maxSteeringRateViolation,successRate,elapsedTime
37,e-lmpc,1,0.0325212097837908,19.0646168990299,0.0117571635897436,0.0253068,2.2926469,0,0,0,9.58369916759239e-08,1,2.8194434
38,e-lmpc,1,0.0138128144278721,12.3047375733113,0.01140858,0.0300642,2.0535444,0,0,0,5.2967315866681e-08,1,2.5365831
39,e-lmpc,1,0.0207260423781458,17.9493530655208,0.01029028125,0.0200425,1.1525115,0,0,0,1.44819541247898e-07,1,1.4326821
40,e-lmpc,1,0.0291112053851272,14.5758291089254,0.0122177814102564,0.0249573,1.9059739,0,0,0,3.90325062937791e-07,1,2.3449638
41,e-lmpc,1,0.0851264664975424,86.497659071789,0.00982287551020408,0.0159329,0.9626418,0.0255102040816327,0.00465413871592357,0,2.25690310884374e-06,1,1.1864704
42,e-lmpc,1,0.03283649471803,46.1878924121852,0.00989925365853658,0.0173882,0.8117388,0,0,0,3.20977871837158e-07,1,0.9957468
43,e-lmpc,1,0.0935599598985351,150.29680678536,0.00828162033898305,0.014343,0.4886156,0.0593220338983051,0.0264263152866402,0,7.92421769091334e-07,1,0.6110268
44,e-lmpc,1,0.135322245185522,118.262316206056,0.0100188134328358,0.0192977,0.6712605,0.0373134328358209,0.0146799342159536,0,1.91865806797864e-06,1,0.8398371
45,e-lmpc,1,0.027233689875475,14.2412996415227,0.00886065041322314,0.0168844,1.0721387,0,0,0,2.93980587429132e-07,1,1.3154674
46,e-lmpc,1,0.0239682578910693,17.7240434753133,0.0102771814814815,0.0229695,1.6649034,0.00925925925925926,0.000616237893263261,0,1.58126631788491e-08,1,2.0344492
47,e-lmpc,1,0.1097619954342,270.245039899576,0.0103086621052632,0.0186182,0.9793229,0.115789473684211,0.0114629594668063,0,4.8618270653833e-07,1,1.2061344
48,e-lmpc,1,0.0222225534852108,15.4441266387823,0.0100957875,0.021091,1.615326,0.003125,0.00330920640073584,0.00943396226415094,217.232191985764,1,1.9832007
49,e-lmpc,1,0.0163838260919476,12.0478133595433,0.0102825452941176,0.0219645,1.7480327,0,0,0,7.34053919870803e-08,1,2.1634093
50,e-lmpc,1,0.0297554192474883,14.1808571108752,0.00831895357142857,0.0216606,1.6305149,0,0,0,7.65859216045328e-08,1,2.0037402
51,e-lmpc,1,0.0387563688886606,35.8002244861114,0.00696814252873563,0.0227411,0.6062284,0.0373563218390805,0.00286089276436741,0,2.29702859400049e-07,1,0.7655395
52,e-lmpc,1,0.041923211157712,29.0211515021027,0.00728397522123894,0.027233,0.8230892,0,0,0,1.203821824447e-07,1,1.0231253
53,e-lmpc,1,0.0364139148102904,13.4911947814432,0.00738189816513761,0.0143974,0.8046269,0.00458715596330275,0.000409382055138963,0,3.54110220257553e-07,1,1.0085706
54,e-lmpc,1,0.0280599219760956,13.7676332055662,0.00807161696969697,0.0124093,1.3318168,0,0,0,6.29026946086242e-08,1,1.6376479
55,e-lmpc,1,0.0272136576519992,32.9992371303136,0.0331717601398601,3.0563935,4.7435617,0,0,0,5.46323416728001e-07,1,5.1088544
56,e-lmpc,1,0.119599049869477,175.240882390705,0.010416003125,0.020162,0.6666242,0.0859375,0.00243147046973524,0,6.26459705443949e-07,1,0.8386904
57,e-lmpc,1,0.0384457140751913,21.8139950110732,0.00844367299270073,0.0155949,1.1567832,0,0,0,3.81611290123374e-07,1,1.4428752
58,e-lmpc,1,0.02649154269672,18.5438363236271,0.0085242696969697,0.0222324,1.1252036,0.00189393939393939,0.00128171823663159,0,8.62714816918242e-07,1,1.3860139
59,e-lmpc,1,0.0568531479203455,29.6919638265381,0.00878800847457627,0.0326707,1.036985,0,0,0,1.91332144794387e-07,1,1.2819256
60,e-lmpc,1,0.0183320447105135,15.0961605888886,0.0103834959798995,0.0241235,2.0663157,0,0,0,2.36402166109428e-06,1,2.5394909
61,e-lmpc,1,0.0327001810408192,20.5396984427238,0.0114673508474576,0.021861,1.3531474,0.00635593220338983,0.000411498293717116,0,4.10617786883449e-07,1,1.6670393
